文件名,文件大小,图片尺寸,图片格式,图片类型
G,RGB
柴胡2.jpg,248271,500x536,JPEG,RGB
桂枝.jpg,38149,513x500,JPEG,RGB
桑叶.jpg,42552,516x500,JPEG,RGB
淡豆豉.jpg,30363,432x450,JPEG,RGB
牛蒡子.jpg,40939,496x500,JPEG,RGB
生姜.jpg,76858,512x550,JPEG,RGB
白芷.jpg,64980,525x398,JPEG,RGB
白芷切面.jpg,147348,500x496,JPEG,RGB
紫苏.jpg,127898,500x488,JPEG,RGB
紫苏杆.jpg,98458,550x216,JPEG,RGB
细辛.jpg,270326,550x323,JPEG,RGB
羌活.jpg,129690,500x460,JPEG,RGB
苍耳子.jpg,43522,498x500,JPEG,RGB
荆芥.jpg,52041,575x500,JPEG,RGB
菊花.jpg,364929,550x413,JPEG,RGB
葛根.jpg,22691,442x500,JPEG,RGB
蔓荆子.jpg,39603,482x450,JPEG,RGB
薄荷叶.jpg,35051,462x500,JPEG,RGB
藁本.jpg,37340,482x500,JPEG,RGB
蝉蜕.jpg,33102,469x460,JPEG,RGB
辛夷.jpg,24665,490x400,JPEG,RGB
防风.jpg,115014,500x428,JPEG,RGB
防风2.jpg,25194,550x277,JPEG,RGB
香薷.jpg,52922,530x450,JPEG,RGB
麻黄.jpg,119089,550x238,JPEG,RGB
麻黄2.jpg,125807,500x484,JPEG,RGB
